aid,type,url,gender
Russell Brand,guest,/Guests/?2624,male
Chris Brown,guest,/Guests/?2625,male
Linkin Park,guest,/Guests/?2617,unknown
Jesse Eisenberg,guest,/Guests/?2623,male
Dex Carvey,guest,/Guests/?2619,unknown
Tom Carvey,guest,/Guests/?2620,male
Mark Zuckerberg,guest,/Guests/?2614,male
John Waters,guest,/Guests/?2615,male
Gwyneth Paltrow,guest,/Guests/?2608,female
Cee Lo Green,guest,/Guests/?2609,unknown
Pee-Wee Herman,guest,/Guests/?2611,male
Jeff Bridges,guest,/Guests/?2598,male
Cookie Monster,unknown,,unknown
Akon,guest,/Guests/?2602,unknown
Jessica Alba,guest,/Guests/?2603,female
Lil Wayne,guest,/Guests/?2600,male
Mario Batali,guest,/Guests/?2597,male
Rob Klein,crew,/Crew/?RoKl,male
Diddy-Dirty Money,guest,/Guests/?2591,unknown
Sean Combs,unknown,,male
Swizz Beatz,guest,/Guests/?2593,unknown
David Spade,unknown,,male
John Mulaney,crew,/Crew/?JoMu,male
Jane Lynch,guest,/Guests/?2580,female
Ernest Borgnine,guest,/Guests/?2576,male
Morgan Freeman,guest,/Guests/?2577,male
Pusha T,guest,/Guests/?2578,unknown
David Paterson,guest,/Guests/?2570,male
Peter Sarsgaard,guest,/Guests/?2573,male
Tom Petty,unknown,,male
Jessi Klein,crew,/Crew/?JeKl,female
John Lutz,crew,/Crew/?JoLu,male
Jenny Slate,cast,/Cast/?JeSl,female
Tom Petty & The Heartbreakers,guest,/Guests/?2563,male
Betty White,guest,/Guests/?2552,female
Molly Shannon,cast,/Cast/?MoSh,female
Bridget Kelly,guest,/Guests/?2557,female
