epid,aid
19800209,Chevy Chase
19800126,Teri Garr
19791222,Ted Knight
19791215,Martin Sheen
19791208,Howard Hesseman
19791117,Bea Arthur
19791110,Buck Henry
19791103,Bill Russell
19791020,Eric Idle
19791013,Steve Martin
19790526,Buck Henry
19790519,Maureen Stapleton
19790512,Michael Palin
19790414,Milton Berle
19790407,Richard Benjamin
19790317,Margot Kidder
19790310,Gary Busey
19790224,Kate Jackson
19790217,Rick Nelson
19790210,Cicely Tyson
19790127,Michael Palin
19781216,Elliott Gould
19781209,Eric Idle
19781202,Walter Matthau
19781118,Carrie Fisher
19781111,Buck Henry
19781104,Steve Martin
19781021,Frank Zappa
19781014,Fred Willard
19781007,The Rolling Stones
19780520,Buck Henry
19780513,Richard Dreyfuss
19780422,Steve Martin
19780415,Michael Sarrazin
19780408,Michael Palin
19780325,Christopher Lee
19780318,Jill Clayburgh
19780311,Art Garfunkel
19780225,O.J. Simpson
19780218,Chevy Chase
19780128,Robert Klein
19780121,Steve Martin
19771217,Miskel Spillman
19771210,Mary Kay Place
19771119,Buck Henry
19771112,Ray Charles
19771029,Charles Grodin
19771015,Hugh Hefner
19771008,Madeline Kahn
19770924,Steve Martin
19770521,Buck Henry
19770514,Shelley Duvall
19770423,Eric Idle
19770416,Elliott Gould
19770409,Julian Bond
19770326,Jack Burns
19770319,Broderick Crawford
19770312,Sissy Spacek
19770226,Steve Martin
19770129,Fran Tarkenton
19770122,Ruth Gordon
19770115,Ralph Nader
19761211,Candice Bergen
19761127,Jodie Foster
19761120,Paul Simon
19761113,Dick Cavett
19761030,Buck Henry
19761023,Steve Martin
19761016,Karen Black
19761002,Eric Idle
19760925,Norman Lear
19760918,Lily Tomlin
19760731,Kris Kristofferson
19760724,Louise Lasser
19760529,Elliott Gould
19760522,Buck Henry
19760515,Dyan Cannon
19760508,Madeline Kahn
19760424,Raquel Welch
19760417,Ron Nessen
19760313,Anthony Perkins
19760228,Jill Clayburgh
19760221,Desi Arnaz
19760214,Peter Boyle
19760131,Dick Cavett
19760124,Peter Cook
19760124,Dudley Moore
19760117,Buck Henry
19760110,Elliott Gould
19751220,Candice Bergen
19751213,Richard Pryor
19751122,Lily Tomlin
19751115,Robert Klein
19751108,Candice Bergen
19751025,Rob Reiner
19751018,Paul Simon
19751011,George Carlin
