impid,aid,name
3711,Bobby Moynihan,Ken Bone
3712,Cecily Strong,Martha Raddatz
3716,Emily Blunt,Ivanka Trump
3717,Vanessa Bayer,Tiffany Trump
3631,Sasheer Zamata,Omarosa Manigault
3719,Beck Bennett,Paul Hollywood
3718,Aidy Bryant,Mel Giedroyc
3720,Kate McKinnon,Mary Berry
3721,Melissa Villasenor,Sue Perkins
3704,Melissa Villasenor,Elaine Quijano
3706,Alex Moffat,George T. Conway III
3708,Mikey Day,Ross Duffer
3707,Alex Moffat,Matt Duffer
3694,Margot Robbie,Ivanka Trump
3117,Bobby Moynihan,Chris Christie
3701,Margot Robbie,Keira Knightley
3092,Fred Armisen,Osama bin Laden
3227,Jay Pharoah,Barack Obama
3691,Maya Rudolph,Dilma Rousseff
3679,Vanessa Bayer,Ivanka Trump
1721,Darrell Hammond,Donald Trump
3633,Jay Pharoah,Ben Carson
3689,Drake,Akbar Gbaja-Biamila
3690,Beck Bennett,Matt Iseman
3228,Taran Killam,Paul Ryan
3332,Taran Killam,Ted Cruz
3680,Brie Larson,Heidi Cruz
3681,Brie Larson,Lesley Gore
3683,Beck Bennett,Bing Crosby
3682,Aidy Bryant,Ethel Merman
3688,Taran Killam,Roy Orbison
3685,Kate McKinnon,Ginger Rogers
3687,Kyle Mooney,Fred Astaire
3684,Jay Pharoah,Tupac Shakur
3686,Kenan Thompson,Paul Robeson
3493,Sasheer Zamata,Eartha Kitt
3678,Kenan Thompson,Errol Louis
3338,Jay Pharoah,Shaquille O'Neal
2223,Kenan Thompson,Al Sharpton
3676,Kyle Mooney,Michael Jackson
3675,Jon Rudnitsky,Tom Cruise
3672,Kate McKinnon,Kate Bolduan
3671,Cecily Strong,Scottie Nell Hughes
3212,Bobby Moynihan,George R. R. Martin
3674,Taran Killam,Iain Glen
3673,Kate McKinnon,Emilia Clarke
3034,Jay Pharoah,Jay-Z
3665,Ariana Grande,Jennifer Lawrence
3635,Beck Bennett,Javier Bardem
3670,Taran Killam,Quentin Tarantino
3669,Kyle Mooney,Woody Allen
3666,Bobby Moynihan,Kevin Smith
3667,Jay Pharoah,Idris Elba
3668,Jon Rudnitsky,Martin Scorsese
3664,Kate McKinnon,Flossie Dickey
3467,Beck Bennett,Jeb Bush
3659,Kate McKinnon,Catherine Cruz
3660,Vanessa Bayer,Jane Sanders
3662,Taran Killam,Peyton Manning
3661,Kenan Thompson,Cam Newton
3651,Pete Davidson,Marco Rubio
3654,Kyle Mooney,Neil Cavuto
3652,Cecily Strong,Maria Bartiromo
3655,Adam Driver,Cris Collinsworth
3656,Beck Bennett,Al Michaels
3657,Bobby Moynihan,Bruce Arians
3658,Cecily Strong,Michele Tafoya
3649,Colin Jost,John Kasich
3600,Kyle Mooney,Rand Paul
3650,Jon Rudnitsky,Wolf Blitzer
3648,Cecily Strong,Carly Fiorina
2210,Amy Poehler,Hillary Clinton
3647,Kate McKinnon,Greta Van Susteren
3604,Taran Killam,Donald Trump
3641,Taran Killam,George Clooney
3636,Bobby Moynihan,Danny DeVito
3645,Michael Che,Elijah Kelley
3644,Leslie Jones,Queen Latifah
3642,Jay Pharoah,Ne-Yo
3643,Kenan Thompson,David Alan Grier
3646,Sasheer Zamata,Shanice Williams
3466,Vanessa Bayer,Elisabeth Hasselbeck
3081,Taran Killam,Steve Doocy
