sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
3,2,1,8,0,2,1,5,7,13,6,0,7,7.9,10,6.8,19,6.4,0,,6.0,2,10.0,2,6.5,2,5.5,0,,7.3,0,,43,6.9,30.0,4,7.2,8,6.9,17,6.4,0,,6.8,12,6.4,16,7.1,23,7.0
1,21,0,10,0,3,1,3,9,19,13,3,12,7.8,21,7.2,21,7.2,0,,8.0,3,8.7,3,7.0,2,9.0,0,,8.2,0,,61,7.3,45.0,8,7.8,17,7.2,19,7.0,0,,7.4,15,8.1,18,7.3,36,7.0
1,23,2,7,7,6,7,9,5,12,2,3,9,6.5,20,4.7,24,5.9,0,,6.0,1,10.0,2,4.5,3,6.7,0,,6.5,0,,60,5.6,46.0,7,6.6,17,4.7,21,5.9,0,,5.7,15,6.2,20,6.0,34,5.3
1,20,0,8,2,3,6,3,12,15,8,6,10,8.0,21,6.3,25,6.6,0,,7.0,2,10.0,2,7.0,3,7.7,0,,8.0,0,,63,6.8,48.0,7,8.1,18,6.3,22,6.5,0,,6.7,15,7.4,18,6.8,38,6.5
1,22,0,11,1,1,0,2,6,14,11,10,11,8.7,16,7.4,23,7.7,0,,7.0,2,10.0,2,8.0,3,7.0,0,,8.1,0,,56,7.8,42.0,8,8.7,13,7.3,20,7.8,0,,7.9,14,8.1,16,7.8,33,7.8
1,19,0,22,1,1,4,1,6,8,18,7,13,8.9,21,7.5,25,8.1,0,,11.0,4,10.0,3,9.0,4,7.5,0,,8.7,0,,68,8.0,47.0,8,8.8,17,7.2,21,8.2,0,,8.1,16,8.2,18,8.0,40,8.0
1,17,0,11,3,2,3,3,11,19,8,5,10,7.9,24,6.7,23,7.1,0,,9.0,2,10.0,3,6.3,4,6.2,0,,7.2,0,,65,7.0,47.0,7,7.6,20,6.8,19,7.2,0,,7.2,17,7.5,17,7.5,35,6.8
1,16,0,13,2,2,1,6,8,20,14,3,12,8.0,22,7.0,26,7.4,0,,10.0,3,9.0,4,7.0,3,7.0,0,,7.8,0,,69,7.3,49.0,8,7.8,17,7.0,23,7.4,0,,7.4,19,7.5,18,7.4,37,7.2
1,15,0,9,0,2,3,1,13,17,12,9,12,7.6,19,7.0,26,7.4,0,,9.0,3,8.7,3,6.3,3,7.0,0,,7.2,0,,66,7.4,47.0,8,7.7,15,7.1,23,7.4,0,,7.4,16,7.7,18,7.3,37,7.1
1,14,0,17,1,0,5,5,10,15,16,10,13,7.9,27,7.0,29,7.6,0,,14.0,4,9.8,4,8.5,6,7.3,0,,8.5,0,,79,7.6,54.0,8,7.6,22,6.8,23,7.5,0,,7.4,17,7.3,21,7.4,47,7.4
1,18,1,11,0,1,5,9,12,22,5,3,10,8.1,20,6.4,29,6.9,0,,8.0,2,10.0,3,6.3,3,7.0,0,,7.5,0,,69,6.8,50.0,7,8.0,16,6.5,26,6.9,0,,7.0,14,7.9,19,7.2,41,6.6
