,index,sid,eid,1,10,2,3,4,5,6,7,8,9,Aged 18-29,Aged 18-29_avg,Aged 30-44,Aged 30-44_avg,Aged 45+,Aged 45+_avg,Aged under 18,Aged under 18_avg,Females,Females Aged 18-29,Females Aged 18-29_avg,Females Aged 30-44,Females Aged 30-44_avg,Females Aged 45+,Females Aged 45+_avg,Females under 18,Females under 18_avg,Females_avg,IMDb staff,IMDb staff_avg,IMDb users,IMDb users_avg,Males,Males Aged 18-29,Males Aged 18-29_avg,Males Aged 30-44,Males Aged 30-44_avg,Males Aged 45+,Males Aged 45+_avg,Males under 18,Males under 18_avg,Males_avg,Non-US users,Non-US users_avg,Top 1000 voters,Top 1000 voters_avg,US users,US users_avg
266,1736,38,12,9,23,3,0,10,12,30,30,21,9,54,7.3,54,5.9,18,6.0,0,,45.0,21,7.1,16,6.0,4,5.8,0,,6.7,0,,147,6.6,83.0,31,7.4,36,5.9,14,6.2,0,,6.5,51,6.9,29,6.3,53,6.3
267,1769,38,8,6,28,1,3,12,14,26,33,24,5,55,7.1,53,6.1,19,6.6,0,,44.0,24,7.3,9,7.4,5,7.6,0,,7.6,0,,152,6.7,83.0,28,6.8,41,5.8,14,6.3,0,,6.2,43,6.9,30,6.1,60,6.5
268,1770,38,7,8,31,0,0,2,9,20,34,47,16,62,8.0,64,7.3,18,7.1,1,10.0,35.0,20,8.0,10,7.2,4,6.0,0,,7.6,0,,167,7.6,112.0,40,8.0,52,7.3,14,7.1,1,10.0,7.5,65,7.7,35,7.3,61,7.4
269,1771,38,6,7,41,2,1,2,10,18,45,40,18,72,7.7,65,7.3,24,7.5,1,8.0,29.0,15,7.5,9,7.4,4,7.5,0,,7.6,0,,184,7.6,133.0,55,7.7,55,7.3,20,7.6,1,8.0,7.5,70,7.7,38,7.2,70,7.3
270,1772,38,2,7,33,1,3,9,10,32,47,25,14,70,7.6,68,6.7,19,6.8,0,,44.0,22,7.8,13,7.8,4,7.5,0,,7.7,0,,181,7.1,120.0,46,7.5,54,6.4,15,6.6,0,,6.8,60,7.3,42,6.7,78,6.8
271,1773,38,3,5,15,1,4,8,21,47,26,13,4,56,6.7,56,5.9,20,6.2,0,,29.0,15,6.2,10,5.9,3,7.3,0,,6.1,0,,144,6.3,103.0,39,7.0,46,5.9,17,6.1,0,,6.3,52,6.5,34,6.3,60,5.9
272,1774,38,4,3,16,1,1,4,12,34,37,16,7,43,7.1,57,6.4,21,7.5,0,,30.0,15,7.5,11,7.2,3,9.0,0,,7.6,0,,131,6.9,91.0,26,6.7,46,6.3,18,7.2,0,,6.6,48,7.0,33,7.0,58,6.7
273,1775,38,1,6,59,0,0,1,12,22,45,62,43,107,8.3,89,7.5,27,7.4,0,,53.0,26,8.1,18,7.5,7,7.6,0,,7.8,0,,250,7.9,174.0,79,8.3,69,7.5,20,7.3,0,,7.9,96,7.7,40,7.4,100,7.9
274,1781,37,22,3,33,0,0,2,5,16,21,38,24,48,8.2,59,7.7,27,8.1,0,,30.0,14,8.3,9,7.5,6,7.7,0,,8.0,0,,142,8.0,101.0,32,8.2,48,7.8,20,8.0,0,,8.0,47,8.1,31,7.5,70,7.8
275,1783,37,21,3,20,1,0,2,4,9,20,32,12,36,8.2,40,7.4,13,7.3,1,10.0,23.0,11,8.3,8,7.9,3,5.7,0,,7.9,0,,103,7.8,67.0,23,8.2,31,7.3,10,7.5,1,10.0,7.7,32,7.8,30,7.2,44,7.5
276,1786,37,20,6,15,2,2,7,11,21,30,8,6,33,7.3,45,6.1,18,6.0,0,,20.0,6,7.8,9,6.6,4,5.8,0,,6.8,0,,108,6.5,76.0,25,7.0,36,5.9,14,6.2,0,,6.3,28,6.5,27,6.1,54,6.2
277,1787,37,19,2,9,0,2,2,9,21,38,14,7,29,7.6,48,6.6,17,6.7,0,,24.0,8,7.4,12,6.9,3,5.3,0,,7.0,0,,104,6.9,69.0,19,7.6,35,6.6,14,6.8,0,,6.9,37,7.0,24,6.6,45,6.7
278,1790,37,18,6,45,1,1,1,7,15,30,25,19,65,8.2,47,7.2,19,7.3,0,,48.0,27,8.9,14,7.4,4,6.5,0,,8.1,0,,150,7.6,84.0,36,7.9,32,7.1,15,7.2,0,,7.4,44,7.5,28,6.6,61,7.4
279,1792,37,16,12,19,1,7,14,22,23,31,12,6,51,6.2,54,5.8,22,6.3,0,,33.0,16,5.4,12,6.1,4,8.5,0,,6.2,0,,147,6.1,93.0,32,6.6,42,5.7,18,5.7,0,,5.9,42,6.1,34,5.8,68,5.8
280,1793,37,17,3,21,0,2,2,8,24,38,14,9,35,7.7,54,7.0,21,6.8,1,10.0,27.0,9,8.4,12,7.1,5,5.7,0,,7.4,0,,121,7.2,81.0,23,7.2,41,7.0,16,6.9,1,10.0,7.1,36,7.1,28,6.6,58,7.0
