sid,eid,tid,title,titleType
11,14,198604127,,Weekend Update
11,14,1986041214,One Shoe Emma,Sketch
11,14,1986041210,Actors On Film,Show
11,14,1986041212,The Cute Shop,Sketch
11,14,198604129,I Play The Maids,Musical Sketch
11,14,198604128,The Wart Hog,Sketch
11,14,1986041211,"Craig Sundberg, Idiot Savant",Sketch
11,14,198604123,John Cougar Mellencamp's Lookin' At America,Commercial
11,14,198604122,,Monologue
11,14,198604126,"""Right and Wrong""",Musical Performance
11,14,198604121,Backstage,Cold Opening
11,14,198604125,Cabrini Green,Sketch
11,14,198604124,The Pat Stevens Show,Show
11,15,1986041912,"""Day The Devil""",Musical Performance
11,15,1986041913,The Further Adventures Of Biff And Salena,Sketch
11,15,1986041911,Master Thespian,Sketch
11,15,1986041910,Unconditional Love,Sketch
11,15,198604199,Big Time Professional Golf,Commercial
11,15,198604198,,Guest Performance
11,15,198604196,,Weekend Update
11,15,198604195,Lyndon La Rouche Theatre,Show
11,15,198604197,30 Counts,Sketch
11,15,198604194,"""Baby Doll""",Musical Performance
11,15,198604192,,Monologue
11,15,198604191,Vietnam Story,Cold Opening
11,16,1986051013,A Mother's Day Message,Miscellaneous
11,16,1986051012,,Guest Performance
11,16,1986051011,Brim Decaffeinated,Commercial
11,16,1986051014,Trojans,Commercial
11,15,198604193,Nancy's Workout,Sketch
11,16,1986051010,Beverly Hills,Sketch
11,16,1986051015,"""Graceland""",Musical Performance
11,16,198605109,"""Homeless""",Musical Performance
11,16,198605104,Prison,Sketch
11,16,198605108,,Weekend Update
11,16,198605102,,Monologue
11,16,198605106,The Limits Of The Imagination,Sketch
11,16,198605103,Geraldo Rivera Opens The Tomb Of The Unknown Soldier,Commercial
11,16,198605107,Dirk Landers,Show
11,17,1986051713,A Message From Jody Hagler,Miscellaneous
11,16,198605101,"""You Can Call Me Al""",Cold Opening
11,17,1986051712,Assembly,Sketch
11,17,1986051711,The Pat Stevens Show,Show
11,17,198605179,Lone Wolf McCord,Show
11,17,198605178,,Weekend Update
11,17,1986051714,"""Say It, Say It""",Musical Performance
11,17,198605177,"""Something About You""",Musical Performance
11,17,198605173,Reagan's Command,Sketch
11,17,198605176,Midday with Jennifer Hicks,Show
11,17,1986051710,,Guest Performance
11,17,198605175,Knockouts,Miscellaneous
11,17,198605174,Tornadoville,Sketch
11,17,198605172,,Monologue
11,17,198605171,Weigh-In,Cold Opening
